baseline_name,paper_title,citation_key,official_repo,official_commit,implementation_source,version,pretrained_weights,training_data_overlap,hyperparameter_source,search_budget,compute_budget,preprocessing,metric_protocol,dataset_splits,seed_list,result_source,fairness_score,known_risks,used_for_primary_claim
buy_hold,Classical buy-and-hold benchmark,,,,examples/quant_trading/strategy_baselines.py,local,,,explicit tutorial choice,none,CPU-only,adjusted close if yfinance auto_adjust or close from bundled data,examples/quant_trading/backtest.py,chronological,,notebook/smoke generated,3,Market beta benchmark only,yes
dual_ma_20_60,Introductory moving-average crossover baseline,,,,examples/quant_trading/strategy_baselines.py,local,,,classic tutorial parameters,none,CPU-only,close prices,examples/quant_trading/backtest.py,chronological,,notebook/smoke generated,2,Parameter-sensitive; not official SOTA,yes
dual_ma_50_120,Introductory moving-average crossover baseline,,,,examples/quant_trading/strategy_baselines.py,local,,,classic tutorial parameters,none,CPU-only,close prices,examples/quant_trading/backtest.py,chronological,,notebook/smoke generated,2,Parameter-sensitive; not official SOTA,yes
macd_12_26_9,Classical MACD baseline,,,,examples/quant_trading/strategy_baselines.py,local,,,standard MACD convention,none,CPU-only,close prices,examples/quant_trading/backtest.py,chronological,,notebook/smoke generated,2,Indicator convention varies,yes
multi_ma_20_60_120,Classical multi-moving-average alignment baseline,,,,examples/quant_trading/strategy_baselines.py,local,,,explicit tutorial choice,none,CPU-only,close prices,examples/quant_trading/backtest.py,chronological,,notebook/smoke generated,2,Parameter-sensitive; long-only,yes
momentum_60,Naive momentum baseline,,,,examples/quant_trading/strategy_baselines.py,local,,,explicit tutorial choice,none,CPU-only,close prices,examples/quant_trading/backtest.py,chronological,,notebook/smoke generated,2,Overlaps with trend following,yes
price_zscore_20,Rolling z-score mean-reversion baseline,,,,examples/quant_trading/strategy_baselines.py,local,,,explicit tutorial choice,none,CPU-only,close prices,examples/quant_trading/backtest.py,chronological,,notebook/smoke generated,2,Mean-reversion parameter sensitivity and trend-regime fragility,yes
bollinger_20_2,Bollinger-band mean-reversion baseline,,,,examples/quant_trading/strategy_baselines.py,local,,,common 20/2 convention,none,CPU-only,close prices,examples/quant_trading/backtest.py,chronological,,notebook/smoke generated,2,Band width and regime dependence,yes
rsi_14_30_50,RSI oversold mean-reversion baseline,,,,examples/quant_trading/strategy_baselines.py,local,,,common RSI convention,none,CPU-only,close prices,examples/quant_trading/backtest.py,chronological,,notebook/smoke generated,2,Can catch falling knives in strong downtrends,yes
apo_10_40,Average price oscillator mean-reversion baseline,,,,examples/quant_trading/strategy_baselines.py,local,,,introductory tutorial convention,none,CPU-only,close prices,examples/quant_trading/backtest.py,chronological,,notebook/smoke generated,2,Overlaps with moving average filters,yes
donchian_20_10,Donchian channel breakout baseline,,,,examples/quant_trading/strategy_baselines.py,local,,,explicit tutorial choice,none,CPU-only,OHLCV high/low/close,examples/quant_trading/backtest.py,chronological,,notebook/smoke generated,2,False breakouts and channel parameter sensitivity,yes
turtle_55_20,Turtle-style Donchian breakout baseline,,,,examples/quant_trading/strategy_baselines.py,local,,,classic Turtle 55/20 convention,none,CPU-only,OHLCV high/low/close,examples/quant_trading/backtest.py,chronological,,notebook/smoke generated,2,Long-only simplified tutorial version; no futures roll or ATR pyramiding,yes
pair_ratio_zscore,Classical pair ratio z-score baseline,N/A,N/A,N/A,examples/quant_trading/strategy_pairs.py,local,N/A,N/A,explicit tutorial choice,none,CPU-only,log prices and rolling z-score,examples/quant_trading/backtest.py,chronological,None,notebook/smoke generated,2,Correlation/cointegration break and hedge-ratio instability,yes
pair_rolling_beta_zscore,Rolling hedge spread z-score baseline,N/A,N/A,N/A,examples/quant_trading/strategy_pairs.py,local,N/A,N/A,explicit tutorial choice,none,CPU-only,rolling return beta and spread z-score,examples/quant_trading/backtest.py,chronological,None,notebook/smoke generated,2,Rolling beta can be unstable and mean can drift,yes
pair_corr_filtered_zscore,Correlation-filtered pair spread baseline,N/A,N/A,N/A,examples/quant_trading/strategy_pairs.py,local,N/A,N/A,explicit tutorial choice,none,CPU-only,rolling beta spread plus correlation filter,examples/quant_trading/backtest.py,chronological,None,notebook/smoke generated,2,Correlation is not cointegration and can lag breakdowns,yes
momentum_rotation,Cross-sectional momentum rotation baseline,N/A,N/A,N/A,examples/quant_trading/strategy_rotation.py,local,N/A,N/A,explicit tutorial choice,none,CPU-only,close prices and top-N ranking,examples/quant_trading/backtest.py,chronological,None,notebook/smoke generated,2,Crowded momentum and rebalance sensitivity,yes
multi_ma_rotation,Cross-sectional multi-MA rank baseline,N/A,N/A,N/A,examples/quant_trading/strategy_rotation.py,local,N/A,N/A,explicit tutorial choice,none,CPU-only,multi-MA alignment rank,examples/quant_trading/backtest.py,chronological,None,notebook/smoke generated,2,Parameter-sensitive and correlated with momentum,yes
inverse_volatility_rotation,Inverse-volatility allocation baseline,N/A,N/A,N/A,examples/quant_trading/strategy_rotation.py,local,N/A,N/A,explicit tutorial choice,none,CPU-only,rolling realized volatility,examples/quant_trading/backtest.py,chronological,None,notebook/smoke generated,2,Low volatility can hide crash risk,yes
